country,country_code_2_digit,country_code_3_digit,population,reported_date,source,ICU_occupancy_count,hospital_occupancy_count
Austria,AT,AUT,8858775,2022-12-12,Country_Website,62,1046
Austria,AT,AUT,8858775,2022-12-13,Country_Website,63,1023
Austria,AT,AUT,8858775,2022-12-14,Country_Website,61,1086
Austria,AT,AUT,8858775,2022-12-15,Country_Website,62,1109
Austria,AT,AUT,8858775,2022-12-16,Country_Website,66,1111
Austria,AT,AUT,8858775,2022-12-17,Country_Website,68,1132
Austria,AT,AUT,8858775,2022-12-18,Country_Website,68,1131
Austria,AT,AUT,8858775,2022-12-05,Country_Website,53,959
Austria,AT,AUT,8858775,2022-12-06,Country_Website,54,979
Austria,AT,AUT,8858775,2022-12-07,Country_Website,59,996
Austria,AT,AUT,8858775,2022-12-08,Country_Website,57,983
Austria,AT,AUT,8858775,2022-12-09,Country_Website,54,1040
Austria,AT,AUT,8858775,2022-12-10,Country_Website,57,1042
Austria,AT,AUT,8858775,2022-12-11,Country_Website,57,1041
Austria,AT,AUT,8858775,2022-11-28,Country_Website,71,883
Austria,AT,AUT,8858775,2022-11-29,Country_Website,66,878
Austria,AT,AUT,8858775,2022-11-30,Country_Website,61,891
Austria,AT,AUT,8858775,2022-12-01,Country_Website,58,902
Austria,AT,AUT,8858775,2022-12-02,Country_Website,57,943
Austria,AT,AUT,8858775,2022-12-03,Country_Website,57,947
Austria,AT,AUT,8858775,2022-12-04,Country_Website,57,946
Austria,AT,AUT,8858775,2022-11-21,Country_Website,73,827
Austria,AT,AUT,8858775,2022-11-22,Country_Website,70,845
Austria,AT,AUT,8858775,2022-11-23,Country_Website,75,861
Austria,AT,AUT,8858775,2022-11-24,Country_Website,67,879
Austria,AT,AUT,8858775,2022-11-25,Country_Website,67,875
Austria,AT,AUT,8858775,2022-11-26,Country_Website,69,865
Austria,AT,AUT,8858775,2022-11-27,Country_Website,68,864
Austria,AT,AUT,8858775,2022-11-14,Country_Website,74,939
Austria,AT,AUT,8858775,2022-11-15,Country_Website,75,909
Austria,AT,AUT,8858775,2022-11-16,Country_Website,76,933
Austria,AT,AUT,8858775,2022-11-17,Country_Website,70,877
Austria,AT,AUT,8858775,2022-11-18,Country_Website,72,862
Austria,AT,AUT,8858775,2022-11-19,Country_Website,76,847
Austria,AT,AUT,8858775,2022-11-20,Country_Website,76,842
Austria,AT,AUT,8858775,2022-11-07,Country_Website,85,1172
Austria,AT,AUT,8858775,2022-11-08,Country_Website,78,1112
Austria,AT,AUT,8858775,2022-11-09,Country_Website,73,1057
Austria,AT,AUT,8858775,2022-11-10,Country_Website,64,995
Austria,AT,AUT,8858775,2022-11-11,Country_Website,67,967
Austria,AT,AUT,8858775,2022-11-12,Country_Website,69,961
Austria,AT,AUT,8858775,2022-11-13,Country_Website,69,961
Austria,AT,AUT,8858775,2022-10-31,Country_Website,98,1787
Austria,AT,AUT,8858775,2022-11-01,Country_Website,100,1789
Austria,AT,AUT,8858775,2022-11-02,Country_Website,96,1349
Austria,AT,AUT,8858775,2022-11-03,Country_Website,93,1260
Austria,AT,AUT,8858775,2022-11-04,Country_Website,91,1237
Austria,AT,AUT,8858775,2022-11-05,Country_Website,85,1226
Austria,AT,AUT,8858775,2022-11-06,Country_Website,85,1224
Austria,AT,AUT,8858775,2022-10-24,Country_Website,119,2035
Austria,AT,AUT,8858775,2022-10-25,Country_Website,105,2003
Austria,AT,AUT,8858775,2022-10-26,Country_Website,106,2013
Austria,AT,AUT,8858775,2022-10-27,Country_Website,99,1997
Austria,AT,AUT,8858775,2022-10-28,Country_Website,99,1909
Austria,AT,AUT,8858775,2022-10-29,Country_Website,100,1891
Austria,AT,AUT,8858775,2022-10-30,Country_Website,100,1882
Austria,AT,AUT,8858775,2022-10-17,Country_Website,120,2409
Austria,AT,AUT,8858775,2022-10-18,Country_Website,120,2406
Austria,AT,AUT,8858775,2022-10-19,Country_Website,124,2344
Austria,AT,AUT,8858775,2022-10-20,Country_Website,132,2248
Austria,AT,AUT,8858775,2022-10-21,Country_Website,125,2214
Austria,AT,AUT,8858775,2022-10-22,Country_Website,128,2201
Austria,AT,AUT,8858775,2022-10-23,Country_Website,128,2202
Austria,AT,AUT,8858775,2022-10-10,Country_Website,118,2310
Austria,AT,AUT,8858775,2022-10-11,Country_Website,130,2418
Austria,AT,AUT,8858775,2022-10-12,Country_Website,130,2463
Austria,AT,AUT,8858775,2022-10-13,Country_Website,125,2425
Austria,AT,AUT,8858775,2022-10-14,Country_Website,121,2417
Austria,AT,AUT,8858775,2022-10-15,Country_Website,120,2422
Austria,AT,AUT,8858775,2022-10-16,Country_Website,120,2416
Austria,AT,AUT,8858775,2022-10-03,Country_Website,71,1626
Austria,AT,AUT,8858775,2022-10-04,Country_Website,90,1773
Austria,AT,AUT,8858775,2022-10-05,Country_Website,80,1905
Austria,AT,AUT,8858775,2022-10-06,Country_Website,100,2016
Austria,AT,AUT,8858775,2022-10-07,Country_Website,98,2096
Austria,AT,AUT,8858775,2022-10-08,Country_Website,99,2093
Austria,AT,AUT,8858775,2022-10-09,Country_Website,99,2099
Austria,AT,AUT,8858775,2022-09-26,Country_Website,66,1082
Austria,AT,AUT,8858775,2022-09-27,Country_Website,75,1224
Austria,AT,AUT,8858775,2022-09-28,Country_Website,73,1320
Austria,AT,AUT,8858775,2022-09-29,Country_Website,67,1397
Austria,AT,AUT,8858775,2022-09-30,Country_Website,69,1421
Austria,AT,AUT,8858775,2022-10-01,Country_Website,67,1422
Austria,AT,AUT,8858775,2022-10-02,Country_Website,68,1442
Austria,AT,AUT,8858775,2022-09-19,Country_Website,61,890
Austria,AT,AUT,8858775,2022-09-20,Country_Website,64,929
Austria,AT,AUT,8858775,2022-09-21,Country_Website,57,947
Austria,AT,AUT,8858775,2022-09-22,Country_Website,55,995
Austria,AT,AUT,8858775,2022-09-23,Country_Website,61,973
Austria,AT,AUT,8858775,2022-09-24,Country_Website,56,975
Austria,AT,AUT,8858775,2022-09-25,Country_Website,58,960
Austria,AT,AUT,8858775,2022-09-12,Country_Website,47,871
Austria,AT,AUT,8858775,2022-09-13,Country_Website,52,879
Austria,AT,AUT,8858775,2022-09-14,Country_Website,54,851
Austria,AT,AUT,8858775,2022-09-15,Country_Website,54,868
Austria,AT,AUT,8858775,2022-09-16,Country_Website,50,838
Austria,AT,AUT,8858775,2022-09-17,Country_Website,54,848
Austria,AT,AUT,8858775,2022-09-18,Country_Website,52,826
Austria,AT,AUT,8858775,2022-09-05,Country_Website,63,900
Austria,AT,AUT,8858775,2022-09-06,Country_Website,54,885
Austria,AT,AUT,8858775,2022-09-07,Country_Website,46,880
Austria,AT,AUT,8858775,2022-09-08,Country_Website,43,884
Austria,AT,AUT,8858775,2022-09-09,Country_Website,47,867
Austria,AT,AUT,8858775,2022-09-10,Country_Website,50,855
Austria,AT,AUT,8858775,2022-09-11,Country_Website,48,848
Austria,AT,AUT,8858775,2022-08-29,Country_Website,66,1025
Austria,AT,AUT,8858775,2022-08-30,Country_Website,69,1063
Austria,AT,AUT,8858775,2022-08-31,Country_Website,62,1011
Austria,AT,AUT,8858775,2022-09-01,Country_Website,65,973
Austria,AT,AUT,8858775,2022-09-02,Country_Website,69,927
Austria,AT,AUT,8858775,2022-09-03,Country_Website,63,914
Austria,AT,AUT,8858775,2022-09-04,Country_Website,60,899
Austria,AT,AUT,8858775,2022-08-22,Country_Website,72,1137
Austria,AT,AUT,8858775,2022-08-23,Country_Website,72,1098
Austria,AT,AUT,8858775,2022-08-24,Country_Website,74,1039
Austria,AT,AUT,8858775,2022-08-25,Country_Website,78,1043
Austria,AT,AUT,8858775,2022-08-26,Country_Website,80,1005
Austria,AT,AUT,8858775,2022-08-27,Country_Website,74,1001
Austria,AT,AUT,8858775,2022-08-28,Country_Website,72,986
Austria,AT,AUT,8858775,2022-08-15,Country_Website,64,1160
Austria,AT,AUT,8858775,2022-08-16,Country_Website,63,1171
Austria,AT,AUT,8858775,2022-08-17,Country_Website,69,1212
Austria,AT,AUT,8858775,2022-08-18,Country_Website,66,1179
Austria,AT,AUT,8858775,2022-08-19,Country_Website,64,1149
Austria,AT,AUT,8858775,2022-08-20,Country_Website,67,1125
Austria,AT,AUT,8858775,2022-08-21,Country_Website,69,1095
Austria,AT,AUT,8858775,2022-08-08,Country_Website,81,1398
Austria,AT,AUT,8858775,2022-08-09,Country_Website,77,1306
Austria,AT,AUT,8858775,2022-08-10,Country_Website,81,1339
Austria,AT,AUT,8858775,2022-08-11,Country_Website,76,1294
Austria,AT,AUT,8858775,2022-08-12,Country_Website,82,1240
Austria,AT,AUT,8858775,2022-08-13,Country_Website,68,1188
Austria,AT,AUT,8858775,2022-08-14,Country_Website,70,1165
Austria,AT,AUT,8858775,2022-08-01,Country_Website,82,1477
Austria,AT,AUT,8858775,2022-08-02,Country_Website,86,1461
Austria,AT,AUT,8858775,2022-08-03,Country_Website,79,1385
Austria,AT,AUT,8858775,2022-08-04,Country_Website,83,1438
Austria,AT,AUT,8858775,2022-08-05,Country_Website,73,1388
Austria,AT,AUT,8858775,2022-08-06,Country_Website,74,1358
Austria,AT,AUT,8858775,2022-08-07,Country_Website,72,1323
Austria,AT,AUT,8858775,2022-07-25,Country_Website,88,1548
Austria,AT,AUT,8858775,2022-07-26,Country_Website,93,1604
Austria,AT,AUT,8858775,2022-07-27,Country_Website,101,1618
Austria,AT,AUT,8858775,2022-07-28,Country_Website,98,1564
Austria,AT,AUT,8858775,2022-07-29,Country_Website,91,1563
Austria,AT,AUT,8858775,2022-07-30,Country_Website,90,1504
Austria,AT,AUT,8858775,2022-07-31,Country_Website,87,1465
Austria,AT,AUT,8858775,2022-07-18,Country_Website,76,1301
Austria,AT,AUT,8858775,2022-07-19,Country_Website,90,1399
Austria,AT,AUT,8858775,2022-07-20,Country_Website,76,1428
Austria,AT,AUT,8858775,2022-07-21,Country_Website,80,1390
Austria,AT,AUT,8858775,2022-07-22,Country_Website,80,1416
Austria,AT,AUT,8858775,2022-07-23,Country_Website,80,1442
Austria,AT,AUT,8858775,2022-07-24,Country_Website,87,1414
Austria,AT,AUT,8858775,2022-07-11,Country_Website,57,1046
Austria,AT,AUT,8858775,2022-07-12,Country_Website,56,1067
Austria,AT,AUT,8858775,2022-07-13,Country_Website,66,1085
Austria,AT,AUT,8858775,2022-07-14,Country_Website,71,1095
Austria,AT,AUT,8858775,2022-07-15,Country_Website,78,1133
Austria,AT,AUT,8858775,2022-07-16,Country_Website,75,1165
Austria,AT,AUT,8858775,2022-07-17,Country_Website,71,1193
Austria,AT,AUT,8858775,2022-07-04,Country_Website,51,878
Austria,AT,AUT,8858775,2022-07-05,Country_Website,56,926
Austria,AT,AUT,8858775,2022-07-06,Country_Website,58,900
Austria,AT,AUT,8858775,2022-07-07,Country_Website,63,961
Austria,AT,AUT,8858775,2022-07-08,Country_Website,57,930
Austria,AT,AUT,8858775,2022-07-09,Country_Website,55,953
Austria,AT,AUT,8858775,2022-07-10,Country_Website,50,960
Austria,AT,AUT,8858775,2022-06-27,Country_Website,48,729
Austria,AT,AUT,8858775,2022-06-28,Country_Website,47,795
Austria,AT,AUT,8858775,2022-06-29,Country_Website,47,809
Austria,AT,AUT,8858775,2022-06-30,Country_Website,41,813
Austria,AT,AUT,8858775,2022-07-01,Country_Website,49,821
Austria,AT,AUT,8858775,2022-07-02,Country_Website,59,835
Austria,AT,AUT,8858775,2022-07-03,Country_Website,51,825
Austria,AT,AUT,8858775,2022-06-20,Country_Website,36,551
Austria,AT,AUT,8858775,2022-06-21,Country_Website,41,583
Austria,AT,AUT,8858775,2022-06-22,Country_Website,50,603
Austria,AT,AUT,8858775,2022-06-23,Country_Website,43,619
Austria,AT,AUT,8858775,2022-06-24,Country_Website,42,620
Austria,AT,AUT,8858775,2022-06-25,Country_Website,48,640
Austria,AT,AUT,8858775,2022-06-26,Country_Website,51,655
Austria,AT,AUT,8858775,2022-06-13,Country_Website,36,473
Austria,AT,AUT,8858775,2022-06-14,Country_Website,43,488
Austria,AT,AUT,8858775,2022-06-15,Country_Website,34,477
Austria,AT,AUT,8858775,2022-06-16,Country_Website,31,481
Austria,AT,AUT,8858775,2022-06-17,Country_Website,36,487
Austria,AT,AUT,8858775,2022-06-18,Country_Website,35,499
Austria,AT,AUT,8858775,2022-06-19,Country_Website,38,502
Austria,AT,AUT,8858775,2022-06-06,Country_Website,40,410
Austria,AT,AUT,8858775,2022-06-07,Country_Website,42,437
Austria,AT,AUT,8858775,2022-06-08,Country_Website,42,440
Austria,AT,AUT,8858775,2022-06-09,Country_Website,39,431
Austria,AT,AUT,8858775,2022-06-10,Country_Website,35,438
Austria,AT,AUT,8858775,2022-06-11,Country_Website,34,444
Austria,AT,AUT,8858775,2022-06-12,Country_Website,30,443
Austria,AT,AUT,8858775,2022-05-30,Country_Website,38,445
Austria,AT,AUT,8858775,2022-05-31,Country_Website,43,432
Austria,AT,AUT,8858775,2022-06-01,Country_Website,43,426
Austria,AT,AUT,8858775,2022-06-02,Country_Website,48,416
Austria,AT,AUT,8858775,2022-06-03,Country_Website,47,418
Austria,AT,AUT,8858775,2022-06-04,Country_Website,43,414
Austria,AT,AUT,8858775,2022-06-05,Country_Website,41,405
Austria,AT,AUT,8858775,2022-05-23,Country_Website,52,530
Austria,AT,AUT,8858775,2022-05-24,Country_Website,57,539
Austria,AT,AUT,8858775,2022-05-25,Country_Website,44,505
Austria,AT,AUT,8858775,2022-05-26,Country_Website,42,473
Austria,AT,AUT,8858775,2022-05-27,Country_Website,46,452
Austria,AT,AUT,8858775,2022-05-28,Country_Website,50,455
Austria,AT,AUT,8858775,2022-05-29,Country_Website,45,444
Austria,AT,AUT,8858775,2022-05-16,Country_Website,65,701
Austria,AT,AUT,8858775,2022-05-17,Country_Website,58,682
Austria,AT,AUT,8858775,2022-05-18,Country_Website,54,647
Austria,AT,AUT,8858775,2022-05-19,Country_Website,58,605
Austria,AT,AUT,8858775,2022-05-20,Country_Website,55,594
Austria,AT,AUT,8858775,2022-05-21,Country_Website,53,580
Austria,AT,AUT,8858775,2022-05-22,Country_Website,44,561
Austria,AT,AUT,8858775,2022-05-09,Country_Website,79,849
Austria,AT,AUT,8858775,2022-05-10,Country_Website,79,853
Austria,AT,AUT,8858775,2022-05-11,Country_Website,79,789
Austria,AT,AUT,8858775,2022-05-12,Country_Website,70,747
Austria,AT,AUT,8858775,2022-05-13,Country_Website,63,727
Austria,AT,AUT,8858775,2022-05-14,Country_Website,62,731
Austria,AT,AUT,8858775,2022-05-15,Country_Website,58,718
Austria,AT,AUT,8858775,2022-05-02,Country_Website,88,1092
Austria,AT,AUT,8858775,2022-05-03,Country_Website,86,1071
Austria,AT,AUT,8858775,2022-05-04,Country_Website,80,1011
Austria,AT,AUT,8858775,2022-05-05,Country_Website,81,955
Austria,AT,AUT,8858775,2022-05-06,Country_Website,79,937
Austria,AT,AUT,8858775,2022-05-07,Country_Website,78,905
Austria,AT,AUT,8858775,2022-05-08,Country_Website,81,866
Austria,AT,AUT,8858775,2022-04-25,Country_Website,118,1381
Austria,AT,AUT,8858775,2022-04-26,Country_Website,110,1368
