country,country_code_2_digit,country_code_3_digit,population,reported_date,source,ecdc_year_week,week_start_date,week_end_date,new_ICU_admissions_count,new_hospital_admissions_count
Belgium,BE,BEL,11455519,2022-01-23,ECDC database compiled from public online sources,2022-W03,2022-01-09,2022-01-15,,17
Belgium,BE,BEL,11455519,2022-01-16,ECDC database compiled from public online sources,2022-W02,2022-01-02,2022-01-08,,12
Belgium,BE,BEL,11455519,2022-01-09,ECDC database compiled from public online sources,2022-W01,2022-01-01,2022-01-01,,11
Belgium,BE,BEL,11455519,2022-01-02,ECDC database compiled from public online sources,2021-W52,2021-12-19,2021-12-25,,8
Belgium,BE,BEL,11455519,2021-12-26,ECDC database compiled from public online sources,2021-W51,2021-12-12,2021-12-18,,8
Belgium,BE,BEL,11455519,2021-12-19,ECDC database compiled from public online sources,2021-W50,2021-12-05,2021-12-11,,11
Belgium,BE,BEL,11455519,2021-12-12,ECDC database compiled from public online sources,2021-W49,2021-11-28,2021-12-04,,16
Belgium,BE,BEL,11455519,2021-12-05,ECDC database compiled from public online sources,2021-W48,2021-11-21,2021-11-27,,18
Belgium,BE,BEL,11455519,2021-11-28,ECDC database compiled from public online sources,2021-W47,2021-11-14,2021-11-20,,18
Belgium,BE,BEL,11455519,2021-11-21,ECDC database compiled from public online sources,2021-W46,2021-11-07,2021-11-13,,16
Belgium,BE,BEL,11455519,2021-11-14,ECDC database compiled from public online sources,2021-W45,2021-10-31,2021-11-06,,13
Belgium,BE,BEL,11455519,2021-11-07,ECDC database compiled from public online sources,2021-W44,2021-10-24,2021-10-30,,10
Belgium,BE,BEL,11455519,2021-10-31,ECDC database compiled from public online sources,2021-W43,2021-10-17,2021-10-23,,9
Belgium,BE,BEL,11455519,2021-10-24,ECDC database compiled from public online sources,2021-W42,2021-10-10,2021-10-16,,6
Belgium,BE,BEL,11455519,2021-10-17,ECDC database compiled from public online sources,2021-W41,2021-10-03,2021-10-09,,4
Belgium,BE,BEL,11455519,2021-10-10,ECDC database compiled from public online sources,2021-W40,2021-09-26,2021-10-02,,3
Belgium,BE,BEL,11455519,2021-10-03,ECDC database compiled from public online sources,2021-W39,2021-09-19,2021-09-25,,3
Belgium,BE,BEL,11455519,2021-09-26,ECDC database compiled from public online sources,2021-W38,2021-09-12,2021-09-18,,3
Belgium,BE,BEL,11455519,2021-09-19,ECDC database compiled from public online sources,2021-W37,2021-09-05,2021-09-11,,3
Belgium,BE,BEL,11455519,2021-09-12,ECDC database compiled from public online sources,2021-W36,2021-08-29,2021-09-04,,3
Belgium,BE,BEL,11455519,2021-09-05,ECDC database compiled from public online sources,2021-W35,2021-08-22,2021-08-28,,4
Belgium,BE,BEL,11455519,2021-08-29,ECDC database compiled from public online sources,2021-W34,2021-08-15,2021-08-21,,3
Belgium,BE,BEL,11455519,2021-08-22,ECDC database compiled from public online sources,2021-W33,2021-08-08,2021-08-14,,3
Belgium,BE,BEL,11455519,2021-08-15,ECDC database compiled from public online sources,2021-W32,2021-08-01,2021-08-07,,3
Belgium,BE,BEL,11455519,2021-08-08,ECDC database compiled from public online sources,2021-W31,2021-07-25,2021-07-31,,2
Belgium,BE,BEL,11455519,2021-08-01,ECDC database compiled from public online sources,2021-W30,2021-07-18,2021-07-24,,2
Belgium,BE,BEL,11455519,2021-07-25,ECDC database compiled from public online sources,2021-W29,2021-07-11,2021-07-17,,1
Belgium,BE,BEL,11455519,2021-07-18,ECDC database compiled from public online sources,2021-W28,2021-07-04,2021-07-10,,1
Belgium,BE,BEL,11455519,2021-07-11,ECDC database compiled from public online sources,2021-W27,2021-06-27,2021-07-03,,1
Belgium,BE,BEL,11455519,2021-07-04,ECDC database compiled from public online sources,2021-W26,2021-06-20,2021-06-26,,0
Belgium,BE,BEL,11455519,2021-06-27,ECDC database compiled from public online sources,2021-W25,2021-06-13,2021-06-19,,1
Belgium,BE,BEL,11455519,2021-06-20,ECDC database compiled from public online sources,2021-W24,2021-06-06,2021-06-12,,2
Belgium,BE,BEL,11455519,2021-06-13,ECDC database compiled from public online sources,2021-W23,2021-05-30,2021-06-05,,2
Belgium,BE,BEL,11455519,2021-06-06,ECDC database compiled from public online sources,2021-W22,2021-05-23,2021-05-29,,4
Belgium,BE,BEL,11455519,2021-05-30,ECDC database compiled from public online sources,2021-W21,2021-05-16,2021-05-22,,5
Belgium,BE,BEL,11455519,2021-05-23,ECDC database compiled from public online sources,2021-W20,2021-05-09,2021-05-15,,7
